Date,Open,High,Low,Close,Adj Close,Volume
2000-10-19,45.922718,47.717545,44.406403,46.905231,36.635616,32428346
2000-10-20,47.849060,48.506645,45.822147,46.123863,36.025314,40684100
2000-10-23,46.108391,46.108391,43.841652,44.228470,34.544910,22863304
2000-10-24,44.251678,45.597794,44.019588,45.288342,35.372730,32262879
2000-10-25,45.489487,47.825851,45.381180,47.199211,36.865227,35445366
2000-10-26,47.647915,47.965103,47.044483,47.276573,36.925652,8735685
2000-10-27,47.493191,47.733013,46.433315,46.874287,36.611431,22488403
2000-10-30,47.114113,47.872269,46.433315,46.572571,36.375782,18891248
2000-10-31,46.425579,46.998066,45.535904,46.750504,36.514763,19618326
2000-11-01,48.034733,48.398338,47.121845,47.740753,37.288200,33449647
2000-11-02,47.794907,49.202915,47.794907,48.847046,38.152283,34547024
2000-11-03,49.264805,49.628410,48.707790,48.839306,38.146236,27048919
2000-11-06,49.040451,49.496895,48.274555,48.382866,37.789722,25774473
2000-11-07,47.988312,48.777416,47.988312,48.460228,37.850155,16787686
2000-11-08,49.001770,49.883709,48.738735,49.272541,38.484615,36326556
2000-11-09,49.125549,49.930126,48.893459,49.380848,38.569206,24601239
2000-11-10,49.272541,49.473682,48.003784,48.143040,37.602402,22722190
2000-11-13,47.972839,47.972839,46.595779,46.789185,36.544979,15082111
2000-11-14,46.735031,48.259083,46.735031,48.127567,37.590321,23764438
2000-11-15,48.885723,49.110077,47.980576,48.444756,37.838070,19781582
2000-11-16,48.738735,48.800625,47.864532,48.220402,37.662830,21065638
2000-11-17,48.119831,48.189457,47.578289,48.096622,37.566139,21922558
2000-11-20,48.050205,48.367393,47.818115,47.996052,37.487610,10856730
2000-11-21,48.390602,48.390602,47.593761,47.825851,37.354671,24245818
2000-11-22,47.965103,48.197193,47.593761,47.678860,37.239857,7411113
2000-11-23,47.500927,48.351921,47.230156,48.143040,37.602402,16483956
2000-11-24,48.351921,49.032715,48.274555,48.483437,37.868279,21784579
2000-11-27,48.584007,49.496895,48.506645,49.311222,38.514832,19903914
2000-11-28,49.504631,51.098309,49.086868,50.982265,39.820004,43729661
2000-11-29,50.750175,51.430969,50.131271,50.626392,39.542053,33517955
2000-11-30,50.595448,51.098309,50.363361,50.773384,39.656860,20244361
2000-12-01,50.595448,51.098309,50.208633,50.765648,39.650814,23417451
2000-12-04,50.889427,51.895149,50.889427,51.461914,40.194633,31745811
2000-12-05,51.755894,52.575943,51.724949,52.405746,40.931824,24415873
2000-12-06,53.334103,53.334103,52.080818,52.181393,40.756584,20176370
2000-12-07,52.049873,52.661041,51.949303,52.227810,40.792843,14086701
2000-12-08,52.297436,52.900867,52.165920,52.514053,41.016415,27549429
2000-12-11,52.746143,53.682236,52.606888,53.527508,41.807976,39190021
2000-12-12,53.689972,53.720917,53.148430,53.272209,41.608578,15382629
2000-12-13,53.535248,54.084522,53.287685,53.751862,41.983212,26336072
2000-12-14,53.829224,54.587383,53.380520,53.581665,41.850277,40825007
2000-12-15,53.380520,53.380520,52.034401,52.289700,40.841171,25940644
2000-12-18,51.833260,53.055595,51.067364,52.808033,41.246033,24617662
2000-12-19,53.109749,53.318630,52.312908,52.514053,41.016415,22755779
2000-12-20,53.380520,53.380520,52.204601,52.893131,41.312496,13533931
2000-12-21,52.622360,53.372784,52.073086,52.962757,41.366879,27446893
2000-12-22,53.303158,53.689972,52.181393,52.328381,40.871395,23000760
2000-12-25,52.328381,52.328381,52.328381,52.328381,40.871395,0
2000-12-26,52.150448,52.900867,50.525822,50.750175,39.638729,24655005
2000-12-27,50.440723,51.833260,50.131271,51.531544,40.249023,25901957
2000-12-28,51.957039,52.637833,51.492863,52.421219,40.943909,26127096
2000-12-29,52.367062,52.715199,52.150448,52.444427,40.962036,17362708
2001-01-01,52.606888,53.171638,52.452164,52.877659,41.300407,19442331
2001-01-02,52.661041,55.546684,52.645569,54.819473,42.817074,42810928
2001-01-03,54.927780,55.964447,54.618328,55.709148,43.511967,57159622
2001-01-04,55.562157,56.769024,55.113453,55.361015,43.240051,38666386
2001-01-05,55.159870,56.753551,55.159870,56.366734,44.025574,48215173
2001-01-08,56.088226,56.854122,55.275913,55.732357,43.530087,44224788
2001-01-09,55.608578,55.979919,55.252705,55.384224,43.258175,29172070
2001-01-10,55.477058,55.925766,54.022633,54.417187,42.502876,30575175
2001-01-11,54.540966,55.283649,54.308876,55.051563,42.998356,26309541
2001-01-12,55.229496,55.453850,54.773056,54.858154,42.847282,15527905
2001-01-15,54.780792,55.159870,54.463604,55.012878,42.968136,12782448
2001-01-16,55.012878,57.310562,55.012878,57.001110,44.521061,67196704
2001-01-17,57.418873,57.473026,55.894817,56.018600,43.753662,26913441
2001-01-18,56.165588,56.707130,55.910294,56.436359,44.079964,17645699
2001-01-19,56.490517,57.836632,56.490517,57.109421,44.605656,42422507
2001-01-22,57.093948,58.161556,56.954693,57.944942,45.258240,49039029
2001-01-23,57.983624,59.453522,57.983624,59.051231,46.122322,53475157
2001-01-24,59.476730,59.492203,58.563847,58.850090,45.965218,35295295
2001-01-25,59.028023,59.337475,58.277603,59.058968,46.128361,29017487
2001-01-26,59.058968,59.058968,59.058968,59.058968,46.128361,0
2001-01-29,58.795937,58.795937,55.856136,58.432327,45.638920,32795058
2001-01-30,58.571583,60.497921,58.571583,60.289043,47.089115,67947747
2001-01-31,62.664089,62.664089,58.950661,59.507675,46.478825,38132921
2001-02-01,59.337475,60.126579,57.666435,59.747501,46.666142,82349366
2001-02-02,59.492203,61.256081,59.407104,61.039463,47.675240,65464708
2001-02-05,60.822845,61.967819,60.381878,61.758942,48.237186,68962152
2001-02-06,61.890457,62.277271,61.310234,61.557796,48.080078,39092901
2001-02-07,61.217400,61.573269,60.652649,60.877003,47.548344,23506544
2001-02-08,60.528870,61.495907,60.420559,61.263817,47.850471,30915221
2001-02-09,61.426277,62.199909,61.000782,61.720261,48.206978,45047590
2001-02-12,61.310234,62.880707,61.155506,61.975555,48.406372,42586286
2001-02-13,62.199909,63.731701,61.503643,63.445454,49.554451,55148262
2001-02-14,64.188141,64.582695,63.368092,64.296448,50.219124,57887223
2001-02-15,64.211349,65.820503,63.901897,65.402740,51.083202,95050871
2001-02-16,65.588409,66.431671,64.984978,65.364059,51.052990,81979234
2001-02-19,65.449158,66.075798,64.752892,65.812767,51.403458,41141631
2001-02-20,65.603882,65.998436,65.139709,65.418213,51.095280,46248712
2001-02-21,65.456894,65.735405,63.762646,64.072098,50.043896,50993799
2001-02-22,63.901897,64.830254,63.221104,64.157196,50.110363,50329509
2001-02-23,64.219086,65.077812,63.375828,63.638863,49.705513,49943194
2001-02-26,63.468662,63.886425,62.393318,62.857494,49.095222,40210405
2001-02-27,63.050903,63.321674,61.472698,62.215382,48.593693,36261764
2001-02-28,62.199909,64.984978,61.991032,64.072098,50.043896,71413412
2001-03-01,64.366074,69.007858,64.366074,67.800995,52.956367,103004136
2001-03-02,68.079506,69.781494,64.234558,64.845726,50.648148,86709799
2001-03-05,65.062347,65.758614,62.277271,63.228840,49.385262,61010290
2001-03-06,63.228840,63.228840,63.228840,63.228840,49.385262,0
2001-03-07,63.747169,65.712196,61.673840,63.747169,49.790108,48763594
2001-03-08,63.971523,65.008186,63.290730,63.963787,49.959297,28634714
2001-03-09,63.607918,63.607918,61.681576,63.360355,49.487988,25377081
2001-03-12,63.298466,63.747169,62.199909,63.128265,49.306713,23726914
2001-03-13,62.052921,64.752892,58.084194,60.049217,46.901802,34027849
2001-03-14,60.188469,62.648617,59.592773,61.797623,48.267399,21796258
2001-03-15,60.807377,62.114811,60.049217,61.464962,48.007568,16055838
2001-03-16,60.962101,61.774414,58.656681,59.414841,46.406311,20703081
2001-03-19,58.950661,60.033745,58.115139,59.182751,46.225037,14598747
2001-03-20,59.414841,59.530884,57.326035,57.767006,45.119263,11775417
2001-03-21,58.254395,62.393318,56.513725,62.091602,48.497013,21470211
2001-03-22,62.718243,63.252048,60.497921,60.869267,47.542297,18537442
2001-03-23,60.962101,61.991032,57.913998,58.726307,45.868538,22901287
2001-03-26,58.795937,59.817127,58.192505,59.445786,46.430492,11450378
2001-03-27,59.260113,61.023991,59.058968,60.451504,47.216007,18974491
2001-03-28,61.116825,62.664089,60.900211,62.199909,48.581612,17239872
2001-03-29,62.083866,62.795605,60.962101,61.341179,47.910892,24644044
2001-03-30,60.977573,61.379860,59.824863,60.273567,47.077042,15875616
2001-04-02,59.801655,60.931156,57.952679,60.505657,47.258305,18030753
2001-04-03,60.343197,61.116825,59.724293,60.474712,47.234135,9938830
2001-04-04,58.819145,59.987328,58.525166,59.275585,46.297543,9381976
2001-04-05,59.275585,59.275585,59.275585,59.275585,46.297543,0
2001-04-06,59.260113,60.799637,58.950661,59.221432,46.255253,7544167
2001-04-09,58.826881,59.368420,54.424919,55.275913,43.173580,31620971
2001-04-10,54.958725,54.958725,50.487141,50.843010,39.711239,23619705
2001-04-11,51.059628,52.227810,47.446774,50.169952,39.185547,36725183
2001-04-12,49.202915,49.202915,45.195507,46.007820,35.934677,42009551
2001-04-13,46.007820,46.007820,46.007820,46.007820,35.934677,0
2001-04-16,45.272869,48.429283,44.870583,47.678860,37.239857,29141170
2001-04-17,47.500927,49.790874,47.346199,48.769680,38.091846,25542263
2001-04-18,48.584007,51.044155,46.882023,50.626392,39.542053,42489987
2001-04-19,51.051891,58.579319,51.051891,57.209991,44.684204,68751703
2001-04-20,57.233200,58.006832,54.633801,55.523476,43.366951,37236706
2001-04-23,54.927780,56.227482,54.270195,54.788528,42.792912,21045460
2001-04-24,54.339821,54.618328,53.303158,54.069050,42.230961,17229809
2001-04-25,54.154148,56.165588,53.844700,55.492531,43.342773,32062137
2001-04-26,55.771038,56.614296,54.432655,54.904572,43.712639,32977535
2001-04-27,54.308876,54.308876,51.461914,53.434673,42.542370,33400392
2001-04-30,53.953007,54.680218,51.678532,52.993706,42.191284,21494350
2001-05-01,52.993706,52.993706,52.993706,52.993706,42.191284,0
2001-05-02,52.916340,53.612610,52.018929,52.962757,42.166653,14624089
2001-05-03,52.761616,53.968479,52.552734,53.218056,42.369900,15124715
2001-05-04,53.094276,53.535248,52.761616,53.179375,42.339104,8120069
2001-05-07,53.071068,53.751862,52.537262,52.746143,41.994194,7268164
2001-05-08,52.684254,53.875645,52.614624,53.550716,42.634758,14217952
2001-05-09,53.689972,55.361015,53.620346,54.424919,43.330765,28754274
2001-05-10,54.448132,55.190815,54.246986,54.950989,43.749592,14090598
2001-05-11,55.152134,55.902557,54.796265,54.981934,43.774231,14416761
2001-05-14,54.927780,56.018600,54.873627,55.670467,44.322414,11481672
2001-05-15,55.237232,57.620014,53.867908,57.372456,45.677452,30047158
2001-05-16,57.650963,57.991360,56.498253,56.776760,45.203190,21439182
2001-05-17,57.078472,59.577301,57.078472,59.190487,47.124908,37483225
2001-05-18,59.523148,59.546356,57.712852,57.999096,46.176361,19502146
2001-05-21,57.558125,59.028023,57.496235,58.277603,46.398109,18769878
2001-05-22,58.463272,59.028023,58.130611,58.401382,46.496647,13619275
2001-05-23,58.339493,59.298794,58.308548,58.958397,46.940125,12187280
2001-05-24,58.950661,61.023991,58.950661,60.791901,48.399872,43638035
2001-05-25,60.954365,61.534588,60.505657,60.892475,48.479950,27566304
2001-05-28,60.962101,62.184437,60.962101,61.704784,49.126682,16841516
2001-05-29,61.735729,62.965805,61.426277,62.416527,49.693340,19757494
2001-05-30,62.818813,62.927124,60.335461,60.583023,48.233570,25244136
2001-05-31,60.281307,60.931156,59.260113,60.699066,48.325962,19795516
2001-06-01,60.846058,61.000782,58.501953,58.834618,46.841564,19880537
2001-06-04,59.105389,59.252377,57.442081,57.983624,46.164047,14366654
2001-06-05,57.674171,58.455536,57.326035,57.705116,45.942318,13089358
2001-06-06,58.006832,58.177029,56.297108,56.560143,45.030727,18286844
2001-06-07,56.784496,56.854122,55.260441,56.351261,44.864426,24322818
2001-06-08,56.475044,57.782478,56.374470,57.310562,45.628181,23242355
2001-06-11,57.248672,57.627750,56.645241,57.356983,45.665150,17254239
2001-06-12,57.233200,57.449818,56.861858,57.256409,45.585068,8913755
2001-06-13,57.403400,58.316284,57.256409,58.084194,46.244122,14851465
2001-06-14,57.844368,58.532902,56.026337,56.304844,44.827465,30061454
2001-06-15,56.026337,56.026337,54.633801,55.330070,44.051399,21919172
2001-06-18,54.943253,55.237232,52.467636,52.699726,41.957237,25596869
2001-06-19,52.606888,53.844700,52.552734,53.666763,42.727146,16855819
2001-06-20,51.833260,54.308876,51.833260,53.357311,42.480778,12042483
2001-06-21,53.341839,54.223778,52.606888,52.777088,42.018822,21798119
2001-06-22,52.916340,53.194847,52.018929,52.978233,42.178967,14392803
2001-06-25,52.715199,53.086540,51.918358,52.831242,42.061935,11410650
2001-06-26,52.684254,53.976215,52.452164,53.659027,42.720989,13108172
2001-06-27,53.535248,55.685940,53.040123,55.407433,44.112995,20458067
2001-06-28,55.391960,56.699394,55.159870,56.057281,44.630371,17788131
2001-06-29,56.088226,57.782478,55.716885,57.016582,45.394123,12434802
2001-07-02,57.372456,61.116825,54.510021,55.492531,44.180748,6512926
2001-07-03,54.092258,54.463604,50.131271,50.966793,40.577545,30366244
2001-07-04,49.976543,51.291718,49.821819,50.471668,40.183346,18231443
2001-07-05,51.369080,52.049873,50.757912,51.330399,40.867035,12961804
2001-07-06,50.131271,50.951321,49.667091,50.394306,40.121758,7915507
2001-07-09,50.131271,51.059628,48.908936,50.626392,40.306538,16572376
2001-07-10,51.291718,51.817787,50.595448,51.632114,41.107243,11525621
2001-07-11,51.369080,52.722935,50.920376,52.080818,41.464481,7391084
2001-07-12,52.374802,53.024651,52.173656,52.637833,41.907951,8065559
2001-07-13,52.877659,54.270195,51.415497,53.225792,42.376064,13189871
2001-07-16,52.436691,52.916340,51.059628,51.369080,40.897827,9909398
2001-07-17,50.904900,52.049873,50.301468,51.523808,41.021015,7470941
2001-07-18,51.686268,51.902885,50.285995,50.556767,40.251106,9590654
2001-07-19,50.285995,50.510349,49.667091,50.146744,39.924656,7802798
2001-07-20,50.440723,50.456196,48.042469,48.568535,38.668159,11819702
2001-07-23,47.965103,48.893459,46.417843,48.429283,38.557297,899182
2001-07-24,46.603516,48.970825,46.603516,48.638165,38.723591,6413421
2001-07-25,48.661373,48.808361,47.763962,48.073414,38.273968,7916742
2001-07-26,47.655651,48.336449,46.851074,47.168266,37.553326,14061902
2001-07-27,46.959385,47.647915,46.417843,47.353935,37.701141,8282317
2001-07-30,47.261101,48.584007,46.928440,48.406075,38.538815,9693662
2001-07-31,48.700054,49.628410,46.982594,49.334431,39.277931,25609621
2001-08-01,49.659355,49.860500,48.313236,48.816097,38.865261,12119625
2001-08-02,48.584007,49.651619,47.895477,49.171967,39.148586,10517084
2001-08-03,49.125549,49.682564,48.011520,49.079132,39.074680,22173673
2001-08-06,49.048187,50.231842,48.777416,50.007488,39.813793,11795201
2001-08-07,49.674828,51.059628,49.674828,50.928108,40.546749,15177150
2001-08-08,50.270523,51.214355,49.906918,50.819801,40.460522,11536434
2001-08-09,50.440723,52.568207,50.285995,51.957039,41.365940,15060376
2001-08-10,52.297436,52.831242,51.694004,52.575943,41.858685,16397067
2001-08-13,52.529526,52.746143,50.224106,50.525822,40.226463,12831832
2001-08-14,51.013210,51.013210,49.458214,49.674828,39.548946,19070371
2001-08-15,49.674828,49.674828,49.674828,49.674828,39.548946,0
2001-08-16,49.976543,51.283981,49.667091,50.579975,40.269585,18605097
2001-08-17,50.595448,50.873955,48.932144,49.133286,39.117786,17482901
2001-08-20,48.738735,49.806347,48.669109,49.179707,39.154747,12790462
2001-08-21,49.202915,49.930126,49.202915,49.342167,39.284088,11973768
2001-08-22,49.342167,49.342167,49.342167,49.342167,39.284088,0
2001-08-23,49.496895,52.297436,48.908936,49.048187,39.050034,11254898
2001-08-24,49.202915,49.241596,48.614956,48.761944,38.822147,9658277
2001-08-27,49.202915,49.496895,48.444756,48.785152,38.840618,8473157
